title,score,url,date,author
Parcel Panic Review,7.5,/articles/2010/01/12/parcel-panic-review,2010-01-12T01:46:00.000Z,Levi Buchanan
Phoenix Wright Ace Attorney Wii Review,6.0,/articles/2010/01/12/phoenix-wright-ace-attorney-wii-review,2010-01-12T01:46:00.000Z,Craig Harris
Hook Champ Review,8.5,/articles/2010/01/05/hook-champ-review,2010-01-05T00:49:00.000Z,Levi Buchanan
Aztec Quest Review,8.0,/articles/2009/12/30/aztec-quest-review,2009-12-30T19:41:00.000Z,Levi Buchanan
Battleship Review,7.9,/articles/2009/12/29/battleship-review-2,2009-12-29T20:55:00.000Z,Levi Buchanan
Seed Review,6.5,/articles/2009/12/23/seed-review,2009-12-23T23:38:00.000Z,Levi Buchanan
The Simpsons Arcade Review,7.0,/articles/2009/12/22/the-simpsons-arcade-review-3,2009-12-22T23:35:00.000Z,Levi Buchanan
Need for Speed Shift Review,8.9,/articles/2009/12/19/need-for-speed-shift-review,2009-12-19T00:00:00.000Z,Levi Buchanan
N.O.V.A. Review,9.0,/articles/2009/12/17/nova-review,2009-12-17T19:30:00.000Z,Levi Buchanan
Ridge Racer Accelerated Review,5.0,/articles/2009/12/17/ridge-racer-accelerated-review,2009-12-17T01:30:00.000Z,Levi Buchanan
Avatar: The Game Review,7.8,/articles/2009/12/15/avatar-the-game-review,2009-12-15T22:30:00.000Z,Levi Buchanan
Tom Clancy's HAWX Review,7.9,/articles/2009/12/11/tom-clancys-hawx-review,2009-12-11T22:34:00.000Z,Levi Buchanan
Skater Nation Review,7.5,/articles/2009/12/10/skater-nation-review,2009-12-10T23:03:00.000Z,Levi Buchanan
Pac-Man: Championship Edition Review,5.0,/articles/2009/12/08/pac-man-championship-edition-review,2009-12-08T22:00:00.000Z,Levi Buchanan
Dragon's Lair Review,9.0,/articles/2009/12/08/dragons-lair-review-2,2009-12-08T01:21:00.000Z,Levi Buchanan
Ace Combat Xi Review,6.8,/articles/2009/12/04/ace-combat-xi-review,2009-12-04T23:25:00.000Z,Eduardo Vasconcellos
Labyrinth 2 Review,8.5,/articles/2009/12/04/labyrinth-2-review,2009-12-04T20:33:00.000Z,Matt Casamassina
Cobra Command Review,7.7,/articles/2009/12/04/cobra-command-review,2009-12-04T01:22:00.000Z,Levi Buchanan
Super Monkey Ball 2 Review,7.2,/articles/2009/12/03/super-monkey-ball-2-review,2009-12-03T19:55:00.000Z,Levi Buchanan
Beat It! Review,9.0,/articles/2009/12/03/beat-it-review,2009-12-03T18:52:00.000Z,Levi Buchanan
Bookworm DSi Review,8.0,/articles/2009/12/01/bookworm-dsi-review,2009-12-01T19:35:00.000Z,Daemon Hatfield
